0,1,2,3,4,5,6,7,8,9,10,11,data_bollettino,data_aggiornamento
,"527,00 *",123.429.000,,,,,,,,,,2025-12-25,2025-12-25 10:24
,"525,50 *",113.438.000,,,,,,,,,,2025-12-25,2025-12-25 10:24
Camastra,"531,60",18.418.128 ***,"515,60",----------,1.810.630,"524,45","9,00",----------,9.218.423,"0,00","0,00",2025-12-25,2025-12-25 10:24
,"526,60 *",11.676.725 ***,,,,,,,,,,2025-12-25,2025-12-25 10:24
Basentello,"269,00",33.039.968,"257,14",6.078.577,507.202,"257,54","1,00",6.534.297,962.922,"0,00","0,00",2025-12-25,2025-12-25 10:24
,"267,50 *",28.001.468,,,,,,,,,,2025-12-25,2025-12-25 10:24
Conza,"434,80",61.813.380,"420,82",14.171.870,10.247.470,"422,11","27,00",17.336.885,13.412.485,"29,40","0,00",2025-12-25,2025-12-25 10:24
,"431,30 *",45.495.770,,,,,,,,,,2025-12-25,2025-12-25 10:24
Saetta,"951,24",3.480.000,"945,54",912.000,2 89.000,"945,98","10,00",1.044.000,421.000,"0,00","0,00",2025-12-25,2025-12-25 10:24
,"949,00*",2.250.000,,,,,,,,,,2025-12-25,2025-12-25 10:24
S.Giuliano,"101,00",94.081.021,"91,94",15.642.492,11.642.492,"93,60","0,00",23.188.628,19.188.628,"0,00","0,00",2025-12-25,2025-12-25 10:24
Gannano,"99,00",2.762.000,"99,00",2.762.000,2.621.000,"98,40","-10,00",2.380.000,2.239.000,"0,00","0,00",2025-12-25,2025-12-25 10:24
Acerenza,"432,00 **",8.887.800,"425,22",4.048.328,686.128,"430,08","0,00",7.308.792,3.946.592,"0,00","0,00",2025-12-25,2025-12-25 10:24
Genzano,"402,00 **",3.100.000,"400,38",2.438.000,988.000,"401,23","1,00",2.754.000,1.304.000,"0,00","0,00",2025-12-25,2025-12-25 10:24
DESCRIZIONE INVASI,,,26-dicembre-2024,,,26-dicembre-2025,,,,,,2025-12-26,2025-12-26 10:24
DIGA,Quota max regolazione,,"Quota
slm","Lordo
mc.","Netto
mc.","Quota
slm","Var.ne giorno
prec: +/- cm","Lordo
mc.","Netto
mc.","Pioggia
mm","Neve
cm.",2025-12-26,2025-12-26 10:24
,slm,mc.lordi,,,,,,,,,,2025-12-26,2025-12-26 10:24
